date	ISE1	ISE2	SP1	DAX1	FTSE1	NIKKEI1	BOVESPA1	EU1	EM	ISE3	ISE4	SP2	DAX2	FTSE2	NIKKE2	BOVESPA2	EU2	EM2
5-Jan-09	0,035753708	0,038376187	-0,004679315	0,002193419	0,003894376	0	0,031190229	0,012698039	0,028524462	0,04290445	0,046051424	-0,003743452	0,001754735	0,004283814	0	0,026511695	0,010793333	0,037081801
6-Jan-09	0,025425873	0,031812743	0,007786738	0,008455341	0,012865611	0,004162452	0,01891958	0,011340652	0,008772644	0,030511048	0,038175292	0,00622939	0,006764273	0,014152172	0,004578697	0,016081643	0,009639554	0,011404437
7-Jan-09	-0,02886173	-0,026352966	-0,030469134	-0,017833062	-0,028734593	0,017292932	-0,035898576	-0,017072795	-0,020015412	-0,034634076	-0,031623559	-0,024375307	-0,01426645	-0,031608052	0,019022225	-0,03051379	-0,014511876	-0,026020036
8-Jan-09	-0,062208079	-0,084715902	0,003391364	-0,011726277	-0,000465999	-0,040061309	0,028283152	-0,005560959	-0,019423778	-0,074649695	-0,101659082	0,002713091	-0,009381022	-0,000512599	-0,04406744	0,024040679	-0,004726815	-0,025250911
9-Jan-09	0,009859905	0,009658112	-0,021533208	-0,019872754	-0,012709717	-0,004473502	-0,00976388	-0,010988634	-0,007802212	0,011831886	0,011589734	-0,017226566	-0,015898203	-0,013980689	-0,004920852	-0,008299298	-0,009340339	-0,010142876
12-Jan-09	-0,029191028	-0,042361155	-0,022822626	-0,013525735	-0,005025533	-0,049038532	-0,053849474	-0,012451259	-0,022629745	-0,035029234	-0,050833386	-0,018258101	-0,010820588	-0,005528086	-0,053942385	-0,045772053	-0,01058357	-0,029418669
13-Jan-09	0,015445348	-0,000272183	0,001756552	-0,017673622	-0,006141454	0	0,00357202	-0,012220196	-0,004827138	0,018534418	-0,00032662	0,001405242	-0,014138898	-0,006755599	0	0,003036217	-0,010387167	-0,006275279
14-Jan-09	-0,041167612	-0,03555248	-0,034032484	-0,047383437	-0,050945198	0,002912354	-0,040301613	-0,045220199	-0,008676646	-0,049401134	-0,042662976	-0,027225987	-0,03790675	-0,056039718	0,003203589	-0,034256371	-0,038437169	-0,01127964
15-Jan-09	0,000661905	-0,017267844	0,001328305	-0,019550621	-0,014334659	-0,050447588	0,030313602	-0,012070424	-0,023428729	0,000794286	-0,020721413	0,001062644	-0,015640497	-0,015768125	-0,055492347	0,025766562	-0,01025986	-0,030457348
16-Jan-09	0,022037345	0,032278032	0,007533126	0,00679078	0,006289177	0,025453186	0,004866686	0,008560858	0,010916893	0,026444814	0,038733638	0,006026501	0,005432624	0,006918095	0,027998505	0,004136683	0,007276729	0,014191961
19-Jan-09	-0,022692465	-0,044348781	-0,054261984	-0,011549904	-0,009351296	0,003238918	-0,013151015	-0,012045182	-0,004029004	-0,027230958	-0,053218537	-0,043409587	-0,009239923	-0,010286426	0,00356281	-0,011178363	-0,010238405	-0,005237705
20-Jan-09	-0,013708704	-0,029661366	0	-0,017833593	-0,004170789	-0,023411498	-0,040899261	-0,015088013	-0,024107193	-0,016450445	-0,035593639	0	-0,014266874	-0,004587868	-0,025752648	-0,034764372	-0,012824811	-0,031339351
21-Jan-09	0,000864697	0,00152943	0,042572033	0,005011186	-0,007728867	-0,020561328	0,033532127	-0,003338563	-0,005092242	0,001037636	0,001835316	0,034057626	0,004008949	-0,008501754	-0,022617461	0,028502308	-0,002837779	-0,006619915
22-Jan-09	-0,00381506	0,005043164	-0,015278458	-0,009841399	-0,001898399	0,018817884	-0,016981713	-0,00655222	-0,003227249	-0,004578072	0,006051797	-0,012222766	-0,007873119	-0,002088239	0,020699672	-0,014434456	-0,005569387	-0,004195424
23-Jan-09	0,00566126	-0,010007954	0,005363236	-0,009640052	7,40E-05	-0,038808465	0,006261036	-0,003620056	-0,008077319	0,006793512	-0,012012545	0,004290589	-0,007712042	8,14342E-05	-0,042689312	0,005321881	-0,003077048	-0,010500515
26-Jan-09	0,046831302	0,061708176	0,005537856	0,034786791	0,037891115	-0,008181598	0,009838156	0,032799581	0,010319685	0,056197562	0,074049811	0,004430285	0,027829433	0,041680227	-0,008999758	0,008362433	0,027879644	0,013415591
27-Jan-09	-0,006634978	0,01094866	0,010866312	-0,000797661	-0,003474788	0,048148148	0,00492178	-0,002641806	0,006344498	-0,007961974	0,013138392	0,00869305	-0,000638129	-0,003822267	0,052962963	0,004183513	-0,002245535	0,008247847
28-Jan-09	0,034566982	0,03587086	0,033006834	0,044182012	0,023747818	0,005594001	0,038724652	0,0299742	0,022104103	0,041480378	0,043045032	0,026405467	0,03534561	0,0261226	0,006153401	0,032915954	0,02547807	0,028735334
29-Jan-09	-0,020528213	-0,020271848	-0,033681051	-0,020255911	-0,02477352	0,017723189	-0,014750158	-0,023108586	0,000408697	-0,024633856	-0,024326218	-0,026944841	-0,016204729	-0,027250872	0,019495508	-0,012537634	-0,019642298	0,000531306
30-Jan-09	-0,008776701	-0,023458255	-0,02305281	-0,020478765	-0,009712656	-0,031665977	-0,00853829	-0,007201303	0,002242539	-0,010532041	-0,028149906	-0,018442248	-0,016383012	-0,010683922	-0,034832575	-0,007257547	-0,006121108	0,002915301
2-Feb-09	-0,025919141	-0,035607494	-0,000532907	-0,015636734	-0,017454317	-0,015133862	-0,016289303	-0,019739294	-0,019091385	-0,031102969	-0,042728993	-0,000426326	-0,012509387	-0,019199749	-0,016647248	-0,013845908	-0,0167784	-0,024818801
3-Feb-09	0,015279487	0,022402818	0,01570993	0,02404002	0,021038593	-0,006174742	0,027573706	0,017862274	0,012718686	0,018335384	0,026883382	0,012567944	0,019232016	0,023142452	-0,006792216	0,02343765	0,015182933	0,016534292
4-Feb-09	0,018577796	0,023230767	-0,007517662	0,026576513	0,015274749	0,026908324	0,009564898	0,018769962	0,015165589	0,022293355	0,02787692	-0,00601413	0,02126121	0,016802224	0,029599156	0,008130163	0,015954468	0,019715266
5-Feb-09	-0,014132879	-0,014571381	0,016233194	0,003931905	7,09E-05	-0,011169331	0,024127811	-0,004139094	0,002072505	-0,016959455	-0,017485657	0,012986555	0,003145524	7,80373E-05	-0,012286264	0,020508639	-0,00351823	0,002694257
6-Feb-09	0,036607044	0,042758926	0,026540681	0,029305918	0,014787613	0,015845566	0,039282461	0,019126668	0,032338114	0,043928453	0,051310711	0,021232545	0,023444734	0,016266374	0,017430123	0,033390092	0,016257668	0,042039548
9-Feb-09	0,011353209	0,021467637	0,001484047	0,004766184	0,003651379	-0,013410689	-0,015461796	0,005627159	0,007895394	0,013623851	0,025761164	0,001187238	0,003812947	0,004016517	-0,014751758	-0,013142527	0,004783085	0,010264012
10-Feb-09	-0,040542021	-0,043906874	-0,05036862	-0,035170147	-0,022182186	-0,002901673	-0,021439596	-0,024387753	-0,002139095	-0,048650425	-0,052688249	-0,040294896	-0,028136118	-0,024400405	-0,00319184	-0,018223657	-0,02072959	-0,002780824
11-Feb-09	-0,022105644	-0,033893469	0,007923456	0,005434056	0,005019306	-0,030744916	-0,008799248	0,001097418	-0,007925997	-0,026526773	-0,040672163	0,006338765	0,004347245	0,005521237	-0,033819408	-0,007479361	0,000932805	-0,010303796
12-Feb-09	-0,014888368	-0,020825038	0,001737641	-0,027420558	-0,007609828	0	-0,008482232	-0,014092175	-0,014772748	-0,017866042	-0,024990046	0,001390113	-0,021936446	-0,008370811	0	-0,007209897	-0,011978349	-0,019204572
13-Feb-09	0,007026745	0,009709195	-0,010048038	0,001321853	-0,003002934	0,009563024	0,028550768	0,003031933	0,017764444	0,008432094	0,011651034	-0,00803843	0,001057482	-0,003303227	0,010519326	0,024268153	0,002577143	0,023093777
16-Feb-09	-0,011494996	-0,024629091	-0,046629446	-0,045613986	-0,013166304	-0,003764436	0,003999287	-0,012721713	-0,006850441	-0,013793995	-0,029554909	-0,037303557	-0,036491189	-0,014482934	-0,00414088	0,003399394	-0,010813456	-0,008905573
17-Feb-09	-0,041136038	-0,050687495	0	0	-0,024655731	-0,013596231	-0,0488296	-0,030934994	-0,038322771	-0,049363246	-0,060824994	0	0	-0,027121304	-0,014955854	-0,04150516	-0,026294745	-0,049819602
18-Feb-09	-0,002631499	-0,012101138	-0,000950817	-0,002764335	-0,006790311	-0,014634038	-0,004351059	-0,003303102	-0,003342261	-0,003157799	-0,014521366	-0,000760654	-0,002211468	-0,007469342	-0,016097442	-0,0036984	-0,002807637	-0,004344939
19-Feb-09	0,024654643	0,032923209	-0,012096922	0,002434631	0,002890896	0,003075786	0,001410509	0,00256948	0,006764498	0,029585572	0,039507851	-0,009677538	0,001947705	0,003179986	0,003383365	0,001198933	0,002184058	0,008793847
20-Feb-09	-0,03584061	-0,04977568	-0,011478573	-0,048746751	-0,032706045	-0,018869228	-0,025879448	-0,037924005	-0,027294442	-0,043008732	-0,059730816	-0,009182858	-0,038997401	-0,03597665	-0,020756151	-0,021997531	-0,032235404	-0,035482775
23-Feb-09	0,017303168	0,029566248	-0,035315356	-0,019673359	-0,009922818	-0,00543789	-0,012554261	-0,012159595	0,00967787	0,020763802	0,035479498	-0,028252285	-0,015738687	-0,0109151	-0,005981679	-0,010671122	-0,010335656	0,012581231
24-Feb-09	0,001725406	-0,004151655	0,039320053	-0,010393087	-0,00894738	-0,01469498	0	-0,009447032	-0,011881112	0,002070487	-0,004981986	0,031456042	-0,00831447	-0,009842118	-0,016164478	0	-0,008029977	-0,015445446
25-Feb-09	0,004975853	0,010197804	-0,010715038	-0,012797967	0,008505804	0,026160742	0	-0,000994183	0,006099364	0,005971024	0,012237365	-0,00857203	-0,010238374	0,009356384	0,028776816	0	-0,000845056	0,007929173
26-Feb-09	0,000671759	-0,000812008	-0,015905668	0,024757229	0,0171552	-0,000441044	-0,001361043	0,020902648	-0,002331164	0,000806111	-0,00097441	-0,012724534	0,019805783	0,01887072	-0,000485148	-0,001156887	0,017767251	-0,003030513
27-Feb-09	-0,005891895	-0,009518451	-0,023846498	-0,025399626	-0,022077662	0,014706431	7,86E-05	-0,018261438	-0,006150131	-0,007070274	-0,011422141	-0,019077198	-0,020319701	-0,024285428	0,016177074	6,67863E-05	-0,015522222	-0,00799517
2-Mar-09	-0,013689039	-0,031323951	-0,047741863	-0,035395107	-0,054815959	-0,038832861	-0,052364888	-0,048816774	-0,035364882	-0,016426847	-0,037588741	-0,03819349	-0,028316086	-0,060297555	-0,042716147	-0,044510155	-0,041494258	-0,045974347
3-Mar-09	0,002192959	0,004122949	-0,006427392	-0,005229183	-0,031860804	-0,006951158	0,006409661	-0,020299096	0,001290307	0,002631551	0,004947539	-0,005141914	-0,004183346	-0,035046884	-0,007646274	0,005448212	-0,017254232	0,001677399
4-Mar-09	0,007913215	0,00272274	0,02347539	0,052829213	0,037389099	0,008434917	0,051674378	0,03654846	0,030311506	0,009495858	0,003267288	0,018780312	0,04226337	0,041128009	0,009278409	0,043923221	0,031066191	0,039404958
5-Mar-09	-0,03852223	-0,043381574	-0,043463291	-0,051537616	-0,032333707	0,019360241	-0,027268058	-0,037465203	-0,008671838	-0,046226676	-0,052057889	-0,034770633	-0,041230093	-0,035567078	0,021296265	-0,023177849	-0,031845423	-0,011273389
6-Mar-09	0,007958798	-0,019234871	0,001215289	-0,007900176	0,00022661	-0,035657548	-0,007089752	-0,01117204	-0,002097647	0,009550558	-0,023081845	0,000972231	-0,006320141	0,000249271	-0,039223303	-0,006026289	-0,009496234	-0,002726941
9-Mar-09	-0,007133473	-0,016436982	-0,010074281	0,006963461	0,003308312	-0,012212678	-0,009858434	-0,000177944	-0,005558364	-0,008560168	-0,019724378	-0,008059425	0,005570769	0,003639143	-0,013433946	-0,008379669	-0,000151252	-0,007225873
10-Mar-09	0,011234009	0,021882653	0,06171871	0,051456064	0,047628049	-0,00439149	0,054398075	0,050459269	0,024909954	0,013480811	0,026259184	0,049374968	0,041164851	0,052390854	-0,004830639	0,046238364	0,042890379	0,03238294
11-Mar-09	-0,001410361	0,024432446	0,002442817	0,006952911	-0,005776774	0,044514005	0,000257732	0,003950464	0,01281572	-0,001692433	0,029318935	0,001954254	0,005562329	-0,006354451	0,048965406	0,000219072	0,003357894	0,016660436
